year,month,observation
2006,08,13.7323154157
2006,09,11.8859146675
2006,10,11.7282029256
2006,11,12.7266854551
2006,12,13.8634469293
2007,01,13.7639614817
2007,02,13.18115168
2007,03,13.4905516122
2007,04,15.4416379948
2007,05,18.9653355342
2007,06,18.9066652261
2007,07,20.8981962589
2007,08,22.7559794592
2007,09,22.9571970533
2007,10,25.225440727
2007,11,22.3725261889
2007,12,23.2651408149
2008,01,22.5049850466
2008,02,23.3012510423
2008,03,31.1219194604
2008,04,32.8165537081
2008,05,36.479644835
2008,06,34.7189662425
2008,07,32.592564729100005
2008,08,30.7240197971
2008,09,31.994726688200004
2008,10,34.1534632364
2008,11,31.927213896300003
2008,12,23.450210968200004
2009,01,28.5683332249
2009,02,32.7575198104
2009,03,31.0518320682
2009,04,28.6475076212
2009,05,29.8804223716
2009,06,31.4527397644
2009,07,30.050719126
2009,08,34.0909851937
2009,09,29.315979478400003
2009,10,31.4596291493
2009,11,29.5681071808
2009,12,32.9836863445
2010,01,30.7094054536
2010,02,31.076806033
2010,03,31.8345163989
2010,04,32.385932047
2010,05,30.2487180181
2010,06,32.5275925382
2010,07,32.518056786
2010,08,32.821795521999995
2010,09,31.3728261952
2010,10,33.6992752317
2010,11,34.016420708599995
2010,12,35.141475975999995
2011,01,30.7317245064
2011,02,33.292047182400005
2011,03,32.7752956657
2011,04,30.2751867422
2011,05,29.4939769077
2011,06,32.500401342
2011,07,28.3963342209
2011,08,29.1731137677
2011,09,29.0811636576
2011,10,29.8239847335
2011,11,30.1617813631
2011,12,34.4026595606
2012,01,28.9194279771
2012,02,30.7102269468
2012,03,35.0114448253
2012,04,37.1254186683
2012,05,33.8893695823
2012,06,34.8840669588
2012,07,35.7419679508
2012,08,39.8363532095
2012,09,34.8840669588
2012,10,35.1448399756
2012,11,37.3544906594
2012,12,37.1711962913
2013,01,35.3387085414
2013,02,33.0158932122
2013,03,33.4504761316
2013,04,34.2047047399
2013,05,34.925913459
2013,06,35.2848139617
2013,07,34.581322216800004
2013,08,31.4658266921
2013,09,32.8256149359
2013,10,31.250247662
2013,11,32.7299843543
2013,12,35.3054300412
2014,01,37.5971698157
2014,02,41.3186928726
2014,03,38.6354873433
2014,04,37.5390906367
2014,05,38.56671877
2014,06,35.2444520066
2014,07,37.3816159894
2014,08,36.98433027429999
2014,09,41.0970607826
2014,10,39.1004850799
2014,11,37.5540110276
2014,12,35.8321987697
2015,01,31.2954455477
2015,02,29.618846994
2015,03,29.5689435271
2015,04,30.5603568147
2015,05,27.5040202962
2015,06,30.539026633
2015,07,27.6953847028
2015,08,26.2754795481
2015,09,30.7318661329
2015,10,27.464381588
2015,11,22.2
2015,12,30.5232259032
2016,01,26.9
2016,02,33.6
2016,03,31.4
2016,04,36.0
2016,05,32.4
2016,06,32.9
2016,07,29.8
2016,08,30.9
2016,09,29.8
2016,10,27.6
2016,11,30.4
2016,12,28.9
2017,01,29.2
2017,02,31.2
2017,03,31.3
2017,04,27.4
2017,05,27.9
2017,06,27.3
2017,07,29.3
2017,08,27.9
2017,09,25.1
2017,10,27.7
2017,11,24.7
2017,12,29.1
2018,01,28.4
2018,02,27.0
2018,03,29.2
2018,04,33.1
2018,05,33.3
2018,06,35.8
2018,07,32.2
2018,08,35.3
2018,09,40.4
2018,10,39.9
2018,11,38.3
2018,12,35.7
2019,01,39.2
2019,02,36.9
2019,03,40.8
2019,04,40.6
2019,05,36.6
2019,06,34.5
2019,07,31.9
2019,08,34.7
2019,09,33.1
2019,10,31.2
2019,11,32.7
2019,12,31.6
2020,01,31.8
2020,02,35.8
2020,03,33.800000000000004
2020,04,40.3
2020,05,47.4
2020,06,44.5
2020,07,43.1
2020,08,45.0
2020,09,43.3
2020,10,47.0
2020,11,44.5
2020,12,42.9
2021,01,44.1
2021,02,45.2
2021,03,46.3
2021,04,47.9
2021,05,50.2
2021,06,51.4
2021,07,49.1
2021,08,48.0
2021,09,48.6
2021,10,46.7
2021,11,50.4
2021,12,51.3
2022,01,51.1
2022,02,50.3
