month,observation
1976-11,20.3
1976-12,20.3
1977-01,16.7
1977-02,16.7
1977-03,16.7
1977-04,14.3
1977-05,14.3
1977-06,14.3
1977-07,13.4
1977-08,13.4
1977-09,13.4
1977-10,10.8
1977-11,10.8
1977-12,10.8
1978-01,8.4
1978-02,8.4
1978-03,8.4
1978-04,5.6
1978-05,5.6
1978-06,5.6
1978-07,8.7
1978-08,8.7
1978-09,8.7
1978-10,7.9
1978-11,7.9
1978-12,7.9
1979-01,10.8
1979-02,10.8
1979-03,10.8
1979-04,12.4
1979-05,12.4
1979-06,12.4
1979-07,13.1
1979-08,13.1
1979-09,13.1
1979-10,15.8
1979-11,15.8
1979-12,15.8
1980-01,15.1
1980-02,15.1
1980-03,15.1
1980-04,20.5
1980-05,20.5
1980-06,20.5
1980-07,19.2
1980-08,19.2
1980-09,19.2
1980-10,18.5
1980-11,18.5
1980-12,18.5
1981-01,21.1
1981-02,21.1
1981-03,21.1
1981-04,17.0
1981-05,17.0
1981-06,17.0
1981-07,19.9
1981-08,19.9
1981-09,19.9
1981-10,23.5
1981-11,23.5
1981-12,23.5
1982-01,19.0
1982-02,19.0
1982-03,19.0
1982-04,20.9
1982-05,20.9
1982-06,20.9
1982-07,17.0
1982-08,17.0
1982-09,17.0
1982-10,12.0
1982-11,12.0
1982-12,12.0
1983-01,12.4
1983-02,12.4
1983-03,12.4
1983-04,9.3
1983-05,9.3
1983-06,9.3
1983-07,10.0
1983-08,10.0
1983-09,10.0
1983-10,10.4
1983-11,10.4
1983-12,10.4
1984-01,10.1
1984-02,10.1
1984-03,10.1
1984-04,9.6
1984-05,9.6
1984-06,9.6
1984-07,8.0
1984-08,8.0
1984-09,8.0
1984-10,6.7
1984-11,6.7
1984-12,6.7
1985-01,6.1
1985-02,6.1
1985-03,6.1
1985-04,5.4
1985-05,5.4
1985-06,5.4
1985-07,5.6
1985-08,5.6
1985-09,5.6
1985-10,5.1
1985-11,5.1
1985-12,5.1
1986-01,4.7
1986-02,4.7
1986-03,4.7
1986-04,4.4
1986-05,4.4
1986-06,4.4
1986-07,2.9
1986-08,2.9
1986-09,2.9
1986-10,2.9
1986-11,2.9
1986-12,2.9
1987-01,3.3
1987-02,3.3
1987-03,3.3
1987-04,2.8
1987-05,2.8
1987-06,2.8
1987-07,3.3
1987-08,3.3
1987-09,3.3
1987-10,3.3
1987-11,3.3
1987-12,3.3
1988-01,2.1
1988-02,2.1
1988-03,2.1
1988-04,1.8
1988-05,1.8
