month,observation
2018-01,3.4
2018-02,3.7
2018-03,4.3
2018-04,4.3
2018-05,4.6
2018-06,5.0
2018-07,5.8
2018-08,6.6
2018-09,6.9
2018-10,6.9
2018-11,6.1
2018-12,5.2
2019-01,4.4
2019-02,3.8
2019-03,3.4
2019-04,3.2
2019-05,3.2
2019-06,2.7
2019-07,2.2
2019-08,1.4
2019-09,0.5
2019-10,0.6
2019-11,1.2
2019-12,2.4
2020-01,3.0
2020-02,2.5
2020-03,2.2
2020-04,1.8
2020-05,1.6
2020-06,2.3
2020-07,2.4
2020-08,2.2
2020-09,2.2
2020-10,2.3
2020-11,3.0
2020-12,3.3
2021-01,3.7
2021-02,4.2
2021-03,4.1
2021-04,4.1
2021-05,4.1
2021-06,3.7
2021-07,3.7
2021-08,4.4
2021-09,4.2
2021-10,4.0
2021-11,3.7
2021-12,3.1
2022-01,3.0
2022-02,3.0
2022-03,4.0
2022-04,4.9
2022-05,5.4
