month,observation
1989-01,4.9
1989-02,5.0
1989-03,5.0
1989-04,5.3
1989-05,5.3
1989-06,5.2
1989-07,5.2
1989-08,5.0
1989-09,5.2
1989-10,5.5
1989-11,5.5
1989-12,5.5
1990-01,5.7
1990-02,5.9
1990-03,6.0
1990-04,6.4
1990-05,6.8
1990-06,6.9
1990-07,6.8
1990-08,7.7
1990-09,8.1
1990-10,8.1
1990-11,7.8
1990-12,7.6
1991-01,7.1
1991-02,7.0
1991-03,6.9
1991-04,8.4
1991-05,8.2
1991-06,8.4
1991-07,8.3
1991-08,7.9
1991-09,7.1
1991-10,6.8
1991-11,7.1
1991-12,7.2
1992-01,7.0
1992-02,6.9
1992-03,7.1
1992-04,4.7
1992-05,4.3
1992-06,3.8
1992-07,3.6
1992-08,3.0
1992-09,3.0
1992-10,2.9
1992-11,2.6
1992-12,2.6
1993-01,2.2
1993-02,2.4
1993-03,2.5
1993-04,2.5
1993-05,2.5
1993-06,2.4
1993-07,2.6
1993-08,2.9
1993-09,3.1
1993-10,2.6
1993-11,2.3
1993-12,2.4
1994-01,2.7
1994-02,2.5
1994-03,2.2
1994-04,2.0
1994-05,2.0
1994-06,2.0
1994-07,1.7
1994-08,1.9
1994-09,1.5
1994-10,1.5
1994-11,1.8
1994-12,2.0
1995-01,2.4
1995-02,2.4
1995-03,2.6
1995-04,2.3
1995-05,2.5
1995-06,2.6
1995-07,2.7
1995-08,2.6
1995-09,3.0
1995-10,2.9
1995-11,2.8
1995-12,3.0
1996-01,2.6
1996-02,2.7
1996-03,2.6
1996-04,2.5
1996-05,2.3
1996-06,2.3
1996-07,2.2
1996-08,2.3
1996-09,2.3
1996-10,2.5
1996-11,2.6
1996-12,2.3
1997-01,2.1
1997-02,1.9
1997-03,1.7
1997-04,1.6
1997-05,1.6
1997-06,1.7
1997-07,2.0
1997-08,2.0
1997-09,1.8
1997-10,1.9
1997-11,1.9
1997-12,1.7
1998-01,1.5
1998-02,1.6
1998-03,1.7
1998-04,1.8
1998-05,2.0
1998-06,1.7
1998-07,1.4
1998-08,1.3
1998-09,1.4
1998-10,1.4
1998-11,1.4
1998-12,1.6
1999-01,1.6
1999-02,1.4
1999-03,1.7
1999-04,1.5
1999-05,1.3
1999-06,1.3
1999-07,1.3
1999-08,1.2
1999-09,1.2
1999-10,1.1
1999-11,1.2
1999-12,1.1
2000-01,0.8
2000-02,0.9
2000-03,0.6
2000-04,0.6
2000-05,0.5
2000-06,0.8
2000-07,0.9
2000-08,0.6
2000-09,1.0
2000-10,1.0
2000-11,1.1
2000-12,0.8
2001-01,0.9
2001-02,0.8
2001-03,0.9
2001-04,1.2
2001-05,1.7
2001-06,1.7
2001-07,1.4
2001-08,1.8
2001-09,1.3
2001-10,1.2
2001-11,0.8
2001-12,1.1
2002-01,1.6
2002-02,1.5
2002-03,1.5
2002-04,1.4
2002-05,0.8
2002-06,0.6
2002-07,1.1
2002-08,1.0
2002-09,1.0
2002-10,1.4
2002-11,1.5
2002-12,1.7
2003-01,1.3
2003-02,1.6
2003-03,1.5
2003-04,1.4
2003-05,1.3
2003-06,1.1
2003-07,1.3
2003-08,1.4
2003-09,1.4
2003-10,1.4
2003-11,1.3
2003-12,1.3
2004-01,1.4
2004-02,1.3
2004-03,1.1
2004-04,1.1
2004-05,1.5
2004-06,1.6
2004-07,1.4
2004-08,1.3
