month,observation
1948-06,9.7
1948-07,7.2
1948-08,7.9
1948-09,7.6
1948-10,7.0
1948-11,5.1
1948-12,4.9
1949-01,4.6
1949-02,2.9
1949-03,2.3
1949-04,0.6
1949-05,2.6
1949-06,1.3
1949-07,3.0
1949-08,3.1
1949-09,3.2
1949-10,3.6
1949-11,3.3
1949-12,3.5
1950-01,3.6
1950-02,3.7
1950-03,4.2
1950-04,4.9
1950-05,3.3
1950-06,2.3
1950-07,2.2
1950-08,1.7
1950-09,2.0
1950-10,2.5
1950-11,2.9
1950-12,3.2
1951-01,3.9
1951-02,4.6
1951-03,5.0
1951-04,6.3
1951-05,8.7
1951-06,9.6
1951-07,11.3
1951-08,12.2
1951-09,12.3
1951-10,11.9
1951-11,11.9
1951-12,12.0
1952-01,13.0
1952-02,12.0
1952-03,11.8
1952-04,11.8
1952-05,9.1
1952-06,10.6
1952-07,8.8
1952-08,7.6
1952-09,6.7
1952-10,6.9
1952-11,6.3
1952-12,6.4
1953-01,4.4
1953-02,4.6
1953-03,4.8
1953-04,4.1
1953-05,3.7
1953-06,2.6
1953-07,2.7
1953-08,2.6
1953-09,2.6
1953-10,1.7
1953-11,2.1
1953-12,1.1
1954-01,1.3
1954-02,0.9
1954-03,1.1
1954-04,0.6
1954-05,0.7
1954-06,0.7
1954-07,2.3
1954-08,2.4
1954-09,2.4
1954-10,2.8
1954-11,3.0
1954-12,4.0
1955-01,4.2
1955-02,4.4
1955-03,3.4
1955-04,3.6
1955-05,3.7
1955-06,5.2
1955-07,3.8
1955-08,3.8
1955-09,4.6
1955-10,5.2
1955-11,6.4
1955-12,5.8
1956-01,5.1
1956-02,5.1
1956-03,6.4
1956-04,7.3
1956-05,7.3
1956-06,5.0
1956-07,4.3
1956-08,5.2
1956-09,4.4
1956-10,3.9
1956-11,2.7
1956-12,3.0
1957-01,4.4
1957-02,4.3
1957-03,2.8
1957-04,1.8
1957-05,2.0
1957-06,3.2
1957-07,4.5
1957-08,4.0
1957-09,3.9
1957-10,4.3
1957-11,4.5
1957-12,4.6
1958-01,3.5
1958-02,3.2
1958-03,4.1
1958-04,4.9
1958-05,4.4
1958-06,4.3
1958-07,1.8
1958-08,1.8
1958-09,2.2
1958-10,2.1
1958-11,1.9
1958-12,1.8
1959-01,2.1
1959-02,2.5
1959-03,1.8
1959-04,-0.1
1959-05,-0.1
1959-06,-0.8
1959-07,0.5
1959-08,0.9
1959-09,0.3
1959-10,-0.2
1959-11,0.2
1959-12,0.0
1960-01,-0.5
1960-02,-0.4
1960-03,-0.5
1960-04,0.7
1960-05,1.1
1960-06,1.5
1960-07,1.9
1960-08,1.0
1960-09,1.7
1960-10,2.0
1960-11,1.7
1960-12,1.8
1961-01,2.2
1961-02,2.2
1961-03,2.7
1961-04,2.7
1961-05,3.0
1961-06,3.3
1961-07,3.2
1961-08,4.8
1961-09,4.5
1961-10,3.9
1961-11,4.5
1961-12,4.4
1962-01,4.6
1962-02,4.7
1962-03,4.8
1962-04,5.6
1962-05,5.7
1962-06,5.5
1962-07,5.1
1962-08,3.2
1962-09,3.3
1962-10,2.9
1962-11,2.3
1962-12,2.6
1963-01,2.7
1963-02,3.5
1963-03,3.2
1963-04,2.1
1963-05,1.7
1963-06,1.0
1963-07,0.8
1963-08,1.4
1963-09,1.8
1963-10,2.3
1963-11,2.2
1963-12,1.9
1964-01,1.9
1964-02,1.2
1964-03,1.4
1964-04,2.0
1964-05,3.0
1964-06,3.4
1964-07,4.0
1964-08,4.7
1964-09,4.4
1964-10,4.1
1964-11,4.6
1964-12,4.8
1965-01,4.6
1965-02,4.5
1965-03,4.5
1965-04,5.6
1965-05,5.0
1965-06,4.9
1965-07,4.9
1965-08,4.7
1965-09,4.8
1965-10,4.8
1965-11,4.4
1965-12,4.5
1966-01,4.4
1966-02,4.5
1966-03,4.3
1966-04,3.6
1966-05,3.9
1966-06,3.9
1966-07,3.5
1966-08,3.9
1966-09,3.6
1966-10,3.8
1966-11,4.0
1966-12,3.7
1967-01,3.7
1967-02,3.7
1967-03,3.5
1967-04,3.0
1967-05,2.2
1967-06,2.4
1967-07,2.2
1967-08,1.4
1967-09,1.5
1967-10,2.0
1967-11,1.9
1967-12,2.5
1968-01,2.6
1968-02,3.0
1968-03,3.4
1968-04,4.4
1968-05,4.6
1968-06,4.6
1968-07,5.3
1968-08,5.7
1968-09,5.9
1968-10,5.6
1968-11,5.2
1968-12,5.9
1969-01,6.2
1969-02,6.2
1969-03,6.3
1969-04,5.5
1969-05,5.3
1969-06,5.3
1969-07,5.3
1969-08,4.9
1969-09,5.1
1969-10,5.4
1969-11,5.4
1969-12,4.7
1970-01,5.0
1970-02,4.9
1970-03,5.1
1970-04,5.6
1970-05,6.1
1970-06,5.9
1970-07,6.7
1970-08,6.8
1970-09,7.0
1970-10,7.4
1970-11,7.9
1970-12,7.9
1971-01,8.5
1971-02,8.5
1971-03,8.8
1971-04,9.4
1971-05,9.8
1971-06,10.3
1971-07,10.1
1971-08,10.3
1971-09,9.9
1971-10,9.4
1971-11,9.2
1971-12,9.0
1972-01,8.2
1972-02,8.1
1972-03,7.6
1972-04,6.3
1972-05,6.1
1972-06,6.1
1972-07,5.8
1972-08,6.6
1972-09,7.0
1972-10,7.9
1972-11,7.6
1972-12,7.7
1973-01,7.7
1973-02,7.9
1973-03,8.2
1973-04,9.2
1973-05,9.5
1973-06,9.3
1973-07,9.4
1973-08,8.9
1973-09,9.3
1973-10,9.9
1973-11,10.3
1973-12,10.6
1974-01,12.0
1974-02,13.2
1974-03,13.5
1974-04,15.2
1974-05,16.0
1974-06,16.5
1974-07,17.1
1974-08,16.9
1974-09,17.1
1974-10,17.1
1974-11,18.3
1974-12,19.1
1975-01,19.9
1975-02,19.9
1975-03,21.2
1975-04,21.7
1975-05,25.0
1975-06,26.1
1975-07,26.3
1975-08,26.9
1975-09,26.6
1975-10,25.9
1975-11,25.2
1975-12,24.9
1976-01,23.4
1976-02,22.9
1976-03,21.2
1976-04,18.9
1976-05,15.4
1976-06,13.8
1976-07,12.9
1976-08,13.8
1976-09,14.3
1976-10,14.7
1976-11,15.0
1976-12,15.1
1977-01,16.6
1977-02,16.2
1977-03,16.7
1977-04,17.5
1977-05,17.1
1977-06,17.7
1977-07,17.6
1977-08,16.5
1977-09,15.6
1977-10,14.1
1977-11,13.0
1977-12,12.1
1978-01,9.9
1978-02,9.5
1978-03,9.1
1978-04,7.9
1978-05,7.7
1978-06,7.4
1978-07,7.8
1978-08,8.0
1978-09,7.8
1978-10,7.8
1978-11,8.1
1978-12,8.4
1979-01,9.3
1979-02,9.6
1979-03,9.8
1979-04,10.1
1979-05,10.3
1979-06,11.4
1979-07,15.6
1979-08,15.8
1979-09,16.5
1979-10,17.2
1979-11,17.4
1979-12,17.2
1980-01,18.4
1980-02,19.1
1980-03,19.8
1980-04,21.8
1980-05,21.9
1980-06,21.0
1980-07,16.9
1980-08,16.3
1980-09,15.9
1980-10,15.4
1980-11,15.3
1980-12,15.1
1981-01,13.0
1981-02,12.5
1981-03,12.6
1981-04,12.0
1981-05,11.7
1981-06,11.3
1981-07,10.9
1981-08,11.5
1981-09,11.4
1981-10,11.7
1981-11,12.0
1981-12,12.0
1982-01,12.0
1982-02,11.0
1982-03,10.4
1982-04,9.4
1982-05,9.5
1982-06,9.2
1982-07,8.7
1982-08,8.0
1982-09,7.3
1982-10,6.8
1982-11,6.3
1982-12,5.4
1983-01,4.9
1983-02,5.3
1983-03,4.6
1983-04,4.0
1983-05,3.7
1983-06,3.7
1983-07,4.2
1983-08,4.6
1983-09,5.1
1983-10,5.0
1983-11,4.8
1983-12,5.3
1984-01,5.1
1984-02,5.1
1984-03,5.2
1984-04,5.2
1984-05,5.1
1984-06,5.1
1984-07,4.5
1984-08,5.0
1984-09,4.7
1984-10,5.0
1984-11,4.9
1984-12,4.6
1985-01,5.0
1985-02,5.4
1985-03,6.1
1985-04,6.9
1985-05,7.0
1985-06,7.0
1985-07,6.9
1985-08,6.2
1985-09,5.9
1985-10,5.4
1985-11,5.5
1985-12,5.7
1986-01,5.5
1986-02,5.1
1986-03,4.2
1986-04,3.0
1986-05,2.8
1986-06,2.5
1986-07,2.4
1986-08,2.4
1986-09,3.0
1986-10,3.0
