year,month,observation
1922,JAN,-23.7
1922,FEB,-23.0
1922,MAR,-21.8
1922,APR,-20.3
1922,MAY,-19.6
1922,JUN,-15.7
1922,JUL,-15.1
1922,AUG,-14.2
1922,SEP,-12.8
1922,OCT,-11.8
1922,NOV,-10.9
1922,DEC,-6.0
1923,JAN,-5.3
1923,FEB,-4.6
1923,MAR,-4.0
1923,APR,-4.8
1923,MAY,-4.2
1923,JUN,-3.4
1923,JUL,-3.3
1923,AUG,-3.5
1923,SEP,-1.6
1923,OCT,-0.7
1923,NOV,-0.2
1923,DEC,0.7
1924,JAN,1.1
1924,FEB,1.9
1924,MAR,2.7
1924,APR,2.7
1924,MAY,2.1
1924,JUN,1.5
1924,JUL,1.2
1924,AUG,1.5
1924,SEP,0.8
1924,OCT,0.3
1924,NOV,0.2
1924,DEC,0.5
1925,JAN,-0.1
1925,FEB,-0.7
1925,MAR,-0.9
1925,APR,-0.1
1925,MAY,0.0
1925,JUN,0.6
1925,JUL,0.7
1925,AUG,0.4
1925,SEP,0.0
1925,OCT,-0.7
1925,NOV,-1.9
1925,DEC,-1.9
1926,JAN,-1.6
1926,FEB,-1.3
1926,MAR,-1.4
1926,APR,-2.0
1926,MAY,-1.8
1926,JUN,-2.2
1926,JUL,-2.2
1926,AUG,-1.9
1926,SEP,-1.4
1926,OCT,-0.7
1926,NOV,-0.4
1926,DEC,-1.0
1927,JAN,-0.5
1927,FEB,-0.5
1927,MAR,-0.4
1927,APR,-0.1
1927,MAY,0.2
1927,JUN,1.3
1927,JUL,1.5
1927,AUG,1.1
1927,SEP,0.6
1927,OCT,0.6
1927,NOV,0.7
1927,DEC,2.0
1928,JAN,1.4
1928,FEB,0.8
1928,MAR,1.0
1928,APR,0.9
1928,MAY,0.7
1928,JUN,-0.5
1928,JUL,-0.7
1928,AUG,-0.5
1928,SEP,-0.1
1928,OCT,-0.7
1928,NOV,-0.2
1928,DEC,-0.7
1929,JAN,-0.8
1929,FEB,-0.4
1929,MAR,-0.4
1929,APR,-0.1
1929,MAY,-0.2
1929,JUN,0.2
1929,JUL,0.3
1929,AUG,0.0
1929,SEP,0.0
1929,OCT,-0.3
1929,NOV,-1.0
1929,DEC,-1.2
1930,JAN,-1.2
1930,FEB,-1.5
1930,MAR,-2.0
1930,APR,-2.2
1930,MAY,-2.2
1930,JUN,-2.0
1930,JUL,-2.3
1930,AUG,-2.4
1930,SEP,-3.5
1930,OCT,-3.1
1930,NOV,-2.7
1930,DEC,-2.8
1931,JAN,-2.7
1931,FEB,-2.8
1931,MAR,-3.7
1931,APR,-4.0
1931,MAY,-3.7
1931,JUN,-4.7
1931,JUL,-4.0
1931,AUG,-4.0
1931,SEP,-3.4
1931,OCT,-3.4
1931,NOV,-3.7
1931,DEC,-4.2
1932,JAN,-4.6
1932,FEB,-4.1
1932,MAR,-3.9
1932,APR,-4.3
1932,MAY,-4.7
1932,JUN,-4.4
1932,JUL,-4.7
1932,AUG,-4.7
1932,SEP,-4.5
1932,OCT,-4.7
1932,NOV,-4.5
1932,DEC,-5.0
1933,JAN,-6.4
1933,FEB,-6.2
1933,MAR,-5.1
1933,APR,-4.3
1933,MAY,-3.9
1933,JUN,-2.6
1933,JUL,-2.3
1933,AUG,-2.2
1933,SEP,-1.4
1933,OCT,0.1
1933,NOV,1.0
1933,DEC,2.5
1934,JAN,3.3
1934,FEB,2.9
1934,MAR,2.6
1934,APR,2.5
1934,MAY,2.4
1934,JUN,1.4
1934,JUL,1.4
1934,AUG,1.8
1934,SEP,1.0
1934,OCT,0.0
1934,NOV,-1.2
1934,DEC,-1.5
1935,JAN,-0.3
1935,FEB,-0.1
1935,MAR,-0.4
1935,APR,-0.5
1935,MAY,-0.5
1935,JUN,0.0
1935,JUL,-0.4
1935,AUG,-0.8
1935,SEP,-0.7
1935,OCT,-1.5
1935,NOV,-0.8
1935,DEC,-0.4
1936,JAN,0.0
1936,FEB,-0.2
1936,MAR,0.0
1936,APR,0.1
1936,MAY,0.1
1936,JUN,0.0
1936,JUL,0.1
1936,AUG,0.2
1936,SEP,0.4
1936,OCT,0.8
1936,NOV,1.2
1936,DEC,1.0
1937,JAN,0.5
1937,FEB,0.6
1937,MAR,1.5
1937,APR,1.3
1937,MAY,1.4
1937,JUN,1.9
1937,JUL,2.3
1937,AUG,2.9
1937,SEP,3.3
1937,OCT,3.7
1937,NOV,3.7
1937,DEC,5.6
1938,JAN,6.0
1938,FEB,5.8
1938,MAR,5.1
1938,APR,4.9
1938,MAY,4.9
1938,JUN,4.0
1938,JUL,3.5
1938,AUG,3.1
1938,SEP,2.7
1938,OCT,2.3
1938,NOV,1.5
1938,DEC,-0.3
1939,JAN,-0.8
1939,FEB,-0.6
1939,MAR,-0.1
1939,APR,0.2
1939,MAY,-0.1
1939,JUN,-0.3
1939,JUL,-0.1
1939,AUG,-0.3
1939,SEP,-0.2
1939,OCT,-0.1
1939,NOV,0.5
1939,DEC,0.8
1940,JAN,1.7
1940,FEB,2.3
1940,MAR,2.1
1940,APR,2.3
1940,MAY,3.0
1940,JUN,3.6
1940,JUL,4.0
1940,AUG,4.2
1940,SEP,4.8
1940,OCT,5.5
1940,NOV,4.4
1940,DEC,4.0
1941,JAN,3.8
1941,FEB,3.3
1941,MAR,3.8
1941,APR,4.2
1941,MAY,4.2
1941,JUN,4.4
1941,JUL,5.7
1941,AUG,5.2
1941,SEP,4.8
1941,OCT,4.4
1941,NOV,5.7
1941,DEC,5.9
1942,JAN,8.1
1942,FEB,8.5
1942,MAR,8.2
1942,APR,7.8
1942,MAY,8.3
1942,JUN,9.0
1942,JUL,7.9
1942,AUG,8.1
1942,SEP,8.5
1942,OCT,8.9
1942,NOV,8.8
1942,DEC,8.7
1943,JAN,6.7
1943,FEB,6.7
1943,MAR,6.6
1943,APR,6.6
1943,MAY,6.9
1943,JUN,5.9
1943,JUL,5.6
1943,AUG,6.5
1943,SEP,6.3
1943,OCT,5.4
1943,NOV,4.5
