month,observation
2013-01,5.8
2013-02,5.4
2013-03,5.7
2013-04,5.4
2013-05,4.9
2013-06,5.9
2013-07,6.6
2013-08,6.7
2013-09,6.7
2013-10,6.3
2013-11,5.8
2013-12,6.5
2014-01,7.0
2014-02,7.7
2014-03,8.2
2014-04,8.8
2014-05,8.7
2014-06,8.1
2014-07,8.0
2014-08,7.2
2014-09,6.9
2014-10,6.7
2014-11,6.5
2014-12,5.8
2015-01,3.5
2015-02,2.6
2015-03,3.1
2015-04,3.0
2015-05,3.6
2015-06,3.7
2015-07,3.3
2015-08,3.4
2015-09,3.6
2015-10,4.2
2015-11,4.3
2015-12,4.8
2016-01,7.6
2016-02,8.1
2016-03,7.1
2016-04,7.0
2016-05,6.5
2016-06,6.8
2016-07,7.4
2016-08,7.2
2016-09,6.6
2016-10,6.6
2016-11,6.9
2016-12,7.1
2017-01,5.9
2017-02,5.6
2017-03,5.2
2017-04,4.6
2017-05,4.8
2017-06,4.0
2017-07,3.6
2017-08,4.2
2017-09,5.2
2017-10,5.0
2017-11,5.1
2017-12,5.2
2018-01,5.1
2018-02,4.2
2018-03,3.7
2018-04,4.4
2018-05,4.6
2018-06,5.9
2018-07,6.1
2018-08,6.3
2018-09,6.2
2018-10,6.9
2018-11,6.8
2018-12,5.2
2019-01,4.1
2019-02,4.7
2019-03,6.2
2019-04,6.5
2019-05,6.4
2019-06,5.8
2019-07,4.9
2019-08,4.5
2019-09,4.1
2019-10,3.0
2019-11,2.3
2019-12,3.4
2020-01,4.6
2020-02,4.5
2020-03,3.3
2020-04,1.2
2020-05,0.4
2020-06,0.5
2020-07,1.9
2020-08,2.4
2020-09,2.5
2020-10,2.7
2020-11,3.0
2020-12,3.0
2021-01,3.5
2021-02,4.0
2021-03,5.2
2021-04,6.7
2021-05,7.4
2021-06,7.7
2021-07,7.1
2021-08,7.2
2021-09,7.8
2021-10,8.1
2021-11,9.6
2021-12,10.8
2022-01,10.1
2022-02,10.5
2022-03,11.9
2022-04,13.1
2022-05,14.7
2022-06,16.2
2022-07,18.0
2022-08,16.6
2022-09,16.3
2022-10,16.0
